iso,Country/Region,unit,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
USA.TX,Texas,MtCO2e,107.96,107.92,109.84,111.41,110.28,109.10,106.71,102.74,99.30,93.84,95.78,95.37,94.72,95.48,93.70,94.05,95.92,98.58,99.69,95.48,96.01,96.63,94.22,94.95,92.41,92.42,91.27,92.24,93.57,98.40,93.66
USA.CA,California,MtCO2e,64.37,63.05,62.13,58.85,58.48,57.16,55.90,53.62,51.34,52.22,51.97,51.84,51.85,52.04,51.21,50.76,51.52,52.03,53.68,49.99,45.65,46.00,47.75,47.33,47.43,48.99,45.10,46.37,46.26,43.51,51.24
USA.PA,Pennsylvania,MtCO2e,37.23,40.04,38.49,41.34,42.80,42.05,45.15,46.16,45.57,42.58,41.22,41.04,39.60,39.70,38.29,37.82,38.00,35.90,38.69,38.17,37.34,33.78,34.53,37.11,36.41,36.03,35.62,37.17,37.77,39.00,36.17
USA.OK,Oklahoma,MtCO2e,34.22,34.05,33.90,33.22,32.49,32.65,31.93,31.43,31.20,30.23,30.27,29.98,30.05,30.90,30.13,30.14,30.05,29.91,29.94,29.28,29.40,29.04,27.73,27.38,27.26,28.06,28.15,29.40,29.33,28.93,27.63
USA.WV,West Virginia,MtCO2e,36.03,36.92,36.08,29.75,28.92,28.34,32.09,30.09,31.09,30.96,26.43,28.95,27.07,25.94,26.24,26.84,26.34,26.56,30.55,32.16,32.74,30.21,29.35,29.22,31.56,30.57,28.94,29.73,27.68,25.89,24.53
USA.KS,Kansas,MtCO2e,24.39,24.79,25.09,24.97,25.27,25.54,25.82,25.37,24.77,24.13,24.12,23.96,23.32,23.41,23.60,23.69,24.54,23.82,23.76,23.68,23.88,23.79,23.55,23.53,24.43,23.59,24.23,24.52,23.89,23.85,23.80
USA.LA,Louisiana,MtCO2e,26.52,25.89,26.16,25.42,25.65,25.03,24.76,23.93,23.71,23.31,23.04,22.31,22.15,21.72,21.65,21.41,20.83,21.34,21.13,21.40,21.77,21.46,21.27,21.26,21.76,21.07,21.42,21.78,22.74,22.58,21.57
USA.CO,Colorado,MtCO2e,21.23,21.45,22.33,20.85,22.26,21.31,20.78,22.20,21.79,22.25,22.13,22.70,23.68,23.25,22.69,24.88,25.32,26.62,26.82,25.89,26.55,25.00,23.49,21.50,20.83,20.36,20.34,20.59,21.01,20.60,20.56
USA.OH,Ohio,MtCO2e,27.05,27.68,26.77,26.38,25.90,25.46,25.10,24.28,23.96,22.53,22.28,22.25,21.17,20.22,20.66,20.78,20.80,20.33,20.77,21.11,21.13,20.05,20.58,20.61,20.16,20.00,19.96,19.24,22.44,19.99,19.42
USA.IA,Iowa,MtCO2e,16.24,16.47,16.08,16.01,16.20,16.29,15.04,15.18,15.80,15.81,15.65,15.20,15.23,15.19,14.62,14.91,15.11,15.88,15.65,15.15,15.95,15.79,16.63,16.03,15.66,16.47,17.13,17.41,17.90,17.79,17.79
USA.AL,Alabama,MtCO2e,27.09,26.57,25.62,23.66,25.57,27.60,25.18,23.65,23.46,23.11,22.91,21.22,19.49,19.73,18.95,17.69,17.05,18.32,20.09,20.80,20.68,19.04,18.99,18.89,18.55,16.33,15.50,15.85,16.83,15.72,16.27
USA.NE,Nebraska,MtCO2e,14.41,14.69,14.67,14.73,15.14,15.10,15.08,15.21,15.35,15.12,15.05,14.90,14.57,14.41,14.03,14.32,14.69,15.11,14.78,14.57,14.90,14.64,15.04,14.91,14.68,15.19,15.78,15.99,16.34,16.35,15.94
USA.IL,Illinois,MtCO2e,28.58,28.16,27.69,26.41,27.04,26.56,25.43,23.27,22.83,22.34,21.08,19.98,19.31,18.77,19.06,18.85,18.94,17.36,18.64,18.12,18.30,17.19,18.95,17.83,18.02,18.79,19.33,17.69,16.70,15.98,15.76
USA.NM,New Mexico,MtCO2e,13.26,13.75,14.50,14.94,15.55,15.78,15.75,15.51,15.28,15.10,16.03,15.95,16.54,16.77,16.70,17.36,17.56,17.42,17.60,17.63,16.65,17.35,16.13,16.58,15.76,15.80,15.33,15.72,16.01,16.35,15.71
USA.FL,Florida,MtCO2e,17.01,16.10,16.34,16.15,16.11,15.77,15.55,14.93,14.50,16.17,16.04,14.41,14.51,15.04,15.57,16.09,15.91,14.64,13.80,13.38,15.73,14.63,14.88,14.74,14.70,14.65,14.89,15.44,15.61,16.24,15.26
USA.AR,Arkansas,MtCO2e,16.56,17.52,16.41,17.21,17.40,16.84,17.17,16.15,16.35,16.17,16.04,14.52,14.97,14.25,15.26,16.90,15.14,15.58,14.97,16.56,19.52,16.59,16.70,14.62,15.44,16.11,15.55,15.22,15.05,14.76,14.99
USA.WI,Wisconsin,MtCO2e,15.26,15.51,15.55,15.16,14.74,14.78,15.08,15.10,15.00,14.66,14.60,14.52,14.31,14.35,14.22,14.57,14.58,15.02,14.85,14.59,13.70,13.74,14.00,14.01,13.89,14.52,14.94,15.03,15.07,14.87,14.89
USA.MI,Michigan,MtCO2e,19.05,19.35,19.26,20.14,20.02,19.49,19.32,18.73,18.26,17.98,17.68,17.24,17.00,16.78,16.89,16.83,16.14,16.14,15.73,15.28,15.05,14.56,14.44,14.22,14.17,14.81,14.59,14.74,14.89,14.74,14.53
USA.NC,North Carolina,MtCO2e,8.52,8.88,10.40,11.26,12.16,12.76,13.25,13.97,13.82,13.19,13.15,13.15,13.51,13.43,13.28,13.22,12.86,13.08,12.86,12.80,13.68,13.55,13.19,13.09,12.84,13.37,14.04,13.93,14.23,14.22,14.09
USA.WY,Wyoming,MtCO2e,10.68,10.88,11.31,11.61,12.44,12.62,12.82,13.42,14.30,15.61,18.51,20.19,20.35,20.07,21.08,21.45,23.03,23.19,23.61,22.06,21.44,21.45,19.90,19.01,18.46,17.84,16.18,16.29,17.04,15.18,14.03
USA.NY,New York,MtCO2e,15.34,15.30,15.00,14.86,14.91,14.46,14.28,14.47,14.46,14.40,14.55,14.08,14.24,14.62,14.23,14.35,14.26,14.58,14.47,13.92,13.42,13.27,13.44,13.19,13.51,13.51,13.30,13.33,13.53,13.41,13.90
USA.VA,Virginia,MtCO2e,31.75,31.04,29.50,25.30,24.30,20.54,20.74,20.12,18.58,17.56,16.85,16.59,16.45,17.29,16.69,15.40,15.84,15.78,15.52,14.70,14.96,14.59,13.48,14.36,13.26,13.31,13.24,13.64,13.28,13.26,13.19
USA.MO,Missouri,MtCO2e,14.18,14.26,14.24,14.33,14.80,14.39,14.44,14.24,13.88,13.82,13.67,13.57,13.58,13.38,13.40,13.40,13.62,13.48,13.00,12.92,14.08,12.10,12.01,11.74,12.00,11.91,12.31,12.77,13.03,12.93,13.01
USA.KY,Kentucky,MtCO2e,16.24,16.54,17.15,17.37,17.90,17.36,16.44,18.44,17.35,16.96,16.54,16.65,16.04,15.95,15.87,15.51,16.46,17.01,17.65,18.40,18.06,16.91,15.42,15.96,14.85,15.04,13.65,14.13,14.19,13.72,13.00
