iso,Country/Region,unit,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
USA.TX,Texas,MtCO2e,548.54,546.33,552.12,560.36,569.45,575.09,616.13,634.65,636.54,637.27,658.36,653.00,667.51,660.50,660.62,634.65,637.26,644.68,611.81,570.06,603.51,617.74,629.55,663.81,664.19,658.99,646.52,661.94,692.75,695.64,631.94
USA.CA,California,MtCO2e,312.06,299.98,314.02,302.42,316.78,305.78,306.82,310.18,322.32,324.27,339.66,343.50,340.06,335.37,351.16,345.86,350.31,353.97,334.47,315.75,307.68,297.51,304.41,307.92,302.27,308.35,310.02,312.17,313.86,316.33,268.70
USA.FL,Florida,MtCO2e,168.64,169.76,171.81,179.79,184.36,189.79,196.23,199.05,212.41,207.57,216.85,222.45,227.75,234.33,241.34,244.29,241.86,239.69,224.14,210.82,225.33,211.55,207.85,207.07,213.10,217.75,219.86,220.88,222.70,216.50,198.52
USA.PA,Pennsylvania,MtCO2e,221.56,217.23,223.90,225.88,224.31,228.27,234.37,234.90,232.10,232.35,245.08,229.72,235.61,241.33,248.08,248.48,244.47,244.59,236.86,218.22,228.02,222.18,211.68,220.86,219.25,205.90,194.02,190.11,194.12,194.93,174.96
USA.OH,Ohio,MtCO2e,241.54,240.51,246.48,251.85,248.95,254.62,265.01,262.09,262.74,261.71,269.56,255.40,261.33,267.93,263.19,269.14,261.00,263.26,258.62,228.10,234.78,221.43,201.98,214.67,214.97,198.38,192.90,193.47,197.80,185.29,174.57
USA.IL,Illinois,MtCO2e,185.78,184.95,183.84,201.26,199.43,207.53,217.52,225.47,213.34,219.38,226.07,215.65,221.81,224.92,228.88,231.93,229.36,233.02,232.01,216.00,221.09,213.43,202.43,221.43,219.92,205.54,189.68,187.50,195.13,186.05,153.21
USA.IN,Indiana,MtCO2e,201.57,196.27,199.26,205.35,208.80,214.17,215.85,221.12,220.73,224.17,237.72,225.27,225.49,231.97,238.49,234.84,235.10,234.17,234.66,208.58,223.74,211.18,198.53,203.63,208.18,190.43,182.97,175.74,188.93,175.58,150.08
USA.LA,Louisiana,MtCO2e,160.66,159.56,167.49,170.04,176.55,176.76,177.94,186.09,173.73,176.79,188.87,164.81,168.36,162.92,167.42,163.46,179.29,183.14,173.04,162.83,173.07,167.08,161.81,156.13,151.89,149.19,150.36,153.18,158.88,159.55,147.55
USA.MI,Michigan,MtCO2e,175.18,174.82,175.35,176.66,180.54,184.10,189.07,186.64,185.29,190.75,189.04,183.40,184.16,181.83,183.73,183.49,172.09,173.27,166.60,153.80,163.51,157.70,150.26,158.38,158.38,157.90,148.80,146.64,154.17,149.42,127.88
USA.NY,New York,MtCO2e,176.82,168.26,168.80,161.53,160.70,166.15,168.21,170.57,170.24,171.89,179.14,175.99,172.60,181.47,186.39,182.92,166.68,172.42,159.91,144.94,154.05,146.26,138.81,139.42,144.75,143.04,138.12,134.14,141.58,139.54,117.46
USA.MO,Missouri,MtCO2e,83.94,84.06,84.57,84.16,90.33,98.71,102.67,106.85,110.43,109.46,110.60,115.92,115.77,123.08,125.80,128.84,127.98,125.61,123.44,117.56,123.99,123.84,116.72,123.83,124.01,113.86,108.00,113.98,115.10,107.31,99.33
