iso,Country/Region,unit,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
USA.TX,Texas,MtCO2e,4.51,4.16,4.17,4.59,5.30,6.94,8.13,9.01,9.72,10.55,10.85,10.51,11.07,11.27,11.44,11.78,12.47,13.21,13.83,17.23,17.38,21.29,18.05,18.59,20.41,21.10,21.60,21.84,22.22,22.84,23.57
USA.CA,California,MtCO2e,2.89,2.74,2.96,2.12,2.68,3.93,4.86,5.68,6.24,6.91,7.26,7.64,8.00,8.35,8.62,8.92,9.39,9.90,10.51,8.52,13.40,12.23,12.29,13.60,15.45,15.90,16.03,16.17,16.34,16.69,17.09
USA.FL,Florida,MtCO2e,0.67,0.66,0.75,1.08,1.75,3.10,4.05,4.96,5.55,6.23,6.79,7.33,7.68,8.02,8.32,8.64,9.05,9.51,10.03,11.86,8.95,8.17,10.63,10.66,12.17,12.57,12.84,13.16,13.42,13.95,14.35
USA.NY,New York,MtCO2e,2.12,1.86,1.85,2.02,2.36,3.25,3.94,4.41,4.70,5.13,5.42,5.30,5.52,5.67,5.89,6.11,6.37,6.85,7.16,7.96,7.92,9.73,8.49,9.54,7.76,7.76,7.76,7.71,7.76,7.93,7.99
USA.NC,North Carolina,MtCO2e,1.25,1.11,1.13,1.25,1.53,2.18,2.65,3.04,3.23,3.57,3.83,3.93,4.16,4.23,4.30,4.43,4.62,4.95,5.22,6.11,4.61,4.38,5.53,5.49,6.27,6.38,6.69,6.73,6.84,7.11,7.35
USA.IL,Illinois,MtCO2e,1.86,1.79,1.98,2.20,2.60,3.53,4.28,4.73,4.99,5.45,5.30,5.45,5.81,5.87,6.09,6.32,6.56,6.66,7.15,6.07,7.72,7.76,7.99,7.03,6.82,6.91,6.85,6.77,6.85,6.89,7.17
USA.GA,Georgia,MtCO2e,0.60,0.58,0.63,0.78,1.11,1.76,2.23,2.67,2.95,3.31,3.60,3.87,4.02,4.16,4.28,4.40,4.63,4.90,5.20,6.17,4.66,4.17,5.38,5.37,6.09,6.29,6.40,6.48,6.58,6.79,7.04
USA.KY,Kentucky,MtCO2e,28.18,25.35,27.37,25.63,25.12,26.41,25.93,25.12,32.05,25.46,23.62,16.52,18.20,11.70,14.83,13.42,11.54,13.27,10.50,5.95,7.43,10.76,7.02,7.99,9.07,7.96,6.35,8.61,6.98,7.47,6.29
USA.OH,Ohio,MtCO2e,2.80,2.50,2.54,2.67,2.97,3.76,4.50,4.85,4.90,5.19,5.12,4.98,5.36,5.42,5.48,5.42,5.92,6.27,6.46,5.50,7.10,7.23,7.50,6.60,6.12,6.27,6.37,6.32,6.37,6.18,6.28
USA.MI,Michigan,MtCO2e,2.09,1.94,2.14,2.23,2.53,3.27,2.71,3.15,3.38,3.69,3.89,4.49,4.72,4.90,4.89,5.18,5.31,5.53,5.48,4.54,5.68,5.62,5.84,5.24,5.08,5.18,5.17,5.15,5.09,5.22,5.35
