iso,Country/Region,unit,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
USA.TX,Texas,MtCO2e,55.12,57.83,51.96,51.46,55.06,57.53,58.65,50.80,45.59,44.40,45.94,43.44,47.13,45.61,49.02,42.49,43.02,46.82,39.24,41.88,43.25,35.27,41.57,41.65,43.75,44.91,41.04,40.73,41.11,41.65,38.80
USA.IA,Iowa,MtCO2e,25.48,24.29,21.82,24.25,23.37,23.49,24.93,22.81,25.33,26.04,22.07,23.48,26.29,23.57,24.03,25.03,26.32,25.58,26.06,25.88,26.26,25.88,23.75,25.94,31.85,29.01,27.67,27.50,28.73,29.14,26.73
USA.KS,Kansas,MtCO2e,20.84,18.42,22.12,26.40,20.82,22.74,22.27,23.34,23.05,22.37,20.65,26.68,21.61,23.68,23.77,25.35,20.95,25.12,25.65,21.56,24.21,21.08,22.30,27.55,25.64,25.86,25.26,25.16,25.89,26.17,24.13
USA.CA,California,MtCO2e,18.62,17.68,18.45,18.96,19.25,19.72,20.91,19.91,20.02,20.26,20.54,20.16,21.38,21.89,21.30,20.24,21.14,19.94,22.19,18.88,18.99,18.72,17.93,18.09,17.91,18.45,17.77,18.87,19.02,16.99,22.21
USA.IL,Illinois,MtCO2e,24.82,20.26,20.07,23.77,21.24,22.33,23.67,21.57,22.64,22.23,22.81,22.76,23.14,22.83,21.98,20.18,21.81,20.57,23.22,23.01,21.94,21.73,20.25,23.43,24.20,23.69,22.32,22.13,23.22,23.34,21.20
USA.NE,Nebraska,MtCO2e,16.48,18.31,18.93,21.22,19.29,18.02,19.43,19.45,19.45,19.15,16.30,20.28,19.25,18.73,20.56,20.69,20.52,22.50,20.57,20.30,20.51,22.13,17.85,21.31,21.67,22.08,20.98,20.90,21.67,21.99,20.30
USA.MN,Minnesota,MtCO2e,19.10,19.16,17.39,19.99,18.14,18.95,17.54,17.71,18.50,18.34,17.27,17.04,18.41,17.63,19.58,19.36,16.83,17.93,18.42,17.24,18.20,16.94,16.29,17.56,20.07,20.29,18.59,18.44,19.13,19.29,17.87
USA.FL,Florida,MtCO2e,12.43,12.70,12.87,13.02,13.52,13.62,13.72,14.05,14.18,14.12,14.15,13.75,14.35,14.03,14.17,16.34,18.24,20.91,13.58,13.60,15.28,20.99,15.48,14.21,14.84,13.76,17.22,17.39,20.37,15.51,17.80
USA.MO,Missouri,MtCO2e,16.97,15.24,14.73,16.74,15.50,16.08,17.21,16.49,16.87,14.96,15.91,17.45,16.68,16.67,16.68,15.48,15.15,15.91,16.44,16.15,16.82,15.74,14.54,17.44,17.24,17.93,16.57,16.45,16.85,17.10,15.75
USA.SD,South Dakota,MtCO2e,12.75,12.73,13.68,15.51,13.78,14.06,13.71,13.59,14.24,13.76,11.35,15.06,12.92,13.49,15.84,14.90,15.11,15.83,14.94,16.63,15.76,15.88,12.59,16.65,17.96,16.40,16.11,16.07,16.53,16.84,15.58
USA.MT,Montana,MtCO2e,13.20,13.79,12.21,15.35,12.51,14.66,14.44,16.35,13.65,14.25,12.97,13.23,13.29,13.38,14.13,14.04,14.04,14.25,12.20,14.07,14.88,16.06,10.80,15.26,16.04,14.68,14.48,15.68,14.72,14.94,13.71
USA.ND,North Dakota,MtCO2e,10.26,10.12,10.95,13.24,11.82,11.86,11.71,11.31,11.06,11.27,10.89,11.61,9.35,11.16,11.20,11.43,9.81,13.06,10.26,10.99,12.98,11.96,9.55,14.36,14.22,13.06,13.53,13.40,13.61,13.66,12.91
USA.OK,Oklahoma,MtCO2e,11.68,12.69,12.29,11.95,12.94,12.23,13.89,13.01,12.47,12.83,11.85,12.13,12.65,12.18,13.15,11.93,11.16,13.58,12.25,13.05,12.45,12.54,11.64,13.78,12.82,14.58,13.15,13.30,13.40,13.29,12.36
USA.IN,Indiana,MtCO2e,14.07,12.09,13.07,13.65,12.93,13.32,13.71,12.71,13.69,12.81,13.86,14.32,13.42,14.26,13.54,12.89,13.44,12.69,13.66,13.52,13.64,13.26,12.05,14.19,13.90,13.42,13.12,12.95,13.60,13.52,12.34
USA.OH,Ohio,MtCO2e,13.92,11.80,13.11,13.25,13.06,14.36,14.19,12.84,13.05,12.88,13.57,14.47,13.48,13.54,13.00,12.81,12.63,12.10,13.22,12.76,13.09,12.91,11.03,13.20,12.44,12.66,12.05,11.89,11.83,12.04,11.32
USA.CO,Colorado,MtCO2e,10.12,9.86,11.13,11.05,10.13,10.71,10.83,11.19,11.50,10.72,9.84,10.12,10.30,10.77,10.71,10.71,10.84,11.67,10.22,10.38,10.22,9.69,10.26,11.59,11.31,10.87,10.87,10.75,11.32,11.14,11.03
USA.WI,Wisconsin,MtCO2e,12.03,12.01,11.19,12.11,11.78,11.92,11.63,11.67,12.29,12.22,11.57,11.78,11.99,11.53,11.25,11.23,11.84,11.42,10.69,10.63,11.64,10.85,10.15,11.16,11.99,12.34,11.48,11.42,11.70,11.69,10.91
